state,code,projects
Alaska,AK,2
Alabama,AL,5
Arkansas,AR,2
Arizona,AZ,9
California,CA,23
Colorado,CO,5
Connecticut,CT,0
District of Columbia,DC,0
Delaware,DE,0
Florida,FL,11
Georgia,GA,5
Hawaii,HI,0
Iowa,IA,2
Idaho,ID,1
Illinois,IL,6
Indiana,IN,9
Kansas,KS,0
Kentucky,KY,0
Louisiana,LA,6
Massachusetts,MA,3
Maryland,MD,4
Maine,ME,3
Michigan,MI,13
Minnesota,MN,6
Missouri,MO,1
Mississippi,MS,4
Montana,MT,1
North Carolina,NC,9
North Dakota,ND,0
Nebraska,NE,0
New Hampshire,NH,0
New Jersey,NJ,7
New Mexico,NM,1
Nevada,NV,3
New York,NY,18
Ohio,OH,55
Oklahoma,OK,0
Oregon,OR,2
Pennsylvania,PA,18
Rhode Island,RI,0
South Carolina,SC,1
South Dakota,SD,1
Tennessee,TN,2
Texas,TX,2
Utah,UT,1
Virginia,VA,2
Vermont,VT,2
Washington,WA,7
Wisconsin,WI,5
West Virginia,WV,2
Wyoming,WY,1
